"UserId","Intial Claim","Agreementtime","Questions","Num of Rejection","User Points"
"1","[ [3","195","7","0","24"
"2","[ [2","425","0","0","17"
"3","[ [1","575","8","0","30"
"4","[ [5","560","0","0","32"
"5","[ [5","590","8","0","30"
"6","[ [4","570","7","0","21"
"7","[ [5","555","0","0","19"
"8","[ [1","590","0","0","35"
"9","[ [3","260","2","0","32"
"10","none","0","4","0","4"
"11","[ [5","500","2","0","33"
"12","[ [5","175","4","0","29"
"13","[ [5","290","2","0","34"
"14","[ [5","200","0","0","35"
"15","[ [3","585","0","0","20"
"16","none","585","5","0","34"
"17","[ [5","595","0","0","4"
"18","[ [5","595","0","0","35"
"19","[ [5","415","2","0","27"
"20","[ [5","370","0","0","20"
"21","none","0","0","0","4"
"22","[ [5","455","4","0","35"
"23","[ [5","260","6","0","35"
"24","[ [5","425","6","0","31"
"25","[ [2","170","0","0","25"
"26","[ [5","50","0","0","35"
"27","[ [5","150","0","0","33"
"28","[ [5","180","3","0","35"
"29","[ [3","580","4","0","33"
"30","[ [5","140","2","0","35"
"31","none","0","40","0","4"
"32","[ [5","475","6","0","35"
"33","none","590","6","0","24"
"34","[ [3","580","9","0","35"
"35","[ [2","585","0","0","35"
"36","none","0","13","0","4"
"37","[ [5","255","0","0","26"
"38","none","0","7","0","4"
"39","[ [5","560","2","0","20"
"40","[ [5","420","3","0","35"
"41","none","0","5","0","4"
"42","none","595","6","0","35"
"43","[ [5","480","4","0","33"
"44","[ [5","580","4","0","35"
"45","[ [0","595","0","0","22"
"46","[ [4","210","2","0","30"
"47","none","590","6","0","33"
"48","[ [5","125","3","0","35"
"49","[ [5","275","9","0","35"
"50","none","580","0","0","0"
"51","none","575","0","0","0"
"52","none","0","0","0","4"
"53","none","0","15","0","4"
"54","[ [5","590","0","0","30"
"55","none","415","3","0","35"
"56","none","0","0","0","4"
"57","[ [5","360","6","0","22"
"58","[ [1","580","0","0","33"
"59","none","0","13","0","4"
"60","[ [5","295","3","0","36"
"61","none","0","8","0","4"
"62","[ [5","565","0","0","31"
"63","[ [3","575","8","0","33"
"64","[ [5","220","6","0","32"
"65","none","0","0","0","4"
"66","[ [2","590","4","0","31"
"67","[ [4","0","8","0","4"
"68","[ [5","205","5","0","33"
"69","[ [5","375","5","0","30"
"70","none","520","7","0","35"
"71","[ [1","0","0","0","4"
"72","[ [5","345","4","0","35"
"73","[ [0","580","11","0","35"
"74","none","0","0","0","4"
"75","none","0","0","0","4"
"76","[ [5","320","0","0","35"
"77","none","595","12","0","4"
"78","none","595","12","0","34"
"79","[ [3","580","5","0","19"
"80","none","0","0","0","0"
"81","none","0","0","0","4"
"82","[ [4","575","8","0","27"
"83","[ [5","360","5","0","35"
"84","none","0","0","0","4"
"85","none","0","17","0","4"
"86","none","0","0","0","4"
"87","none","0","8","0","4"
"88","none","0","0","0","0"
"89","none","0","21","0","4"
"90","[ [5","240","4","0","35"
"91","[ [5","115","0","0","35"
"92","[ [5","265","0","0","35"
"93","none","0","0","0","4"
"94","[ [5","285","0","0","35"
"95","[ [5","455","8","0","32"
"96","[ [5","365","6","0","35"
"97","[ [5","185","0","0","31"
"98","[ [0","0","6","0","4"
"99","[ [5","530","0","0","0"
"100","[ [3","300","0","0","34"
"101","[ [5","470","0","0","35"
"102","[ [5","400","2","0","30"
"103","none","0","9","0","4"
"104","[ [4","0","6","0","4"
"105","[ [0","0","10","0","4"
"106","none","590","7","0","30"
"107","[ [5","580","4","0","35"
"108","[ [4","260","0","0","25"
"109","[ [5","265","4","0","35"
"110","[ [5","250","0","0","35"
"111","none","0","49","0","4"
"112","[ [5","205","2","0","36"
"113","[ [5","365","7","0","31"
"114","[ [5","140","4","0","35"
"115","[ [5","220","0","0","35"
"116","none","0","13","0","4"
"117","none","0","0","0","4"
"118","none","575","3","0","35"
"119","[ [5","470","8","0","35"
"120","[ [4","85","0","0","31"
"121","[ [5","415","0","0","36"
"122","none","0","4","0","4"
"123","[ [0","590","0","0","30"
"124","[ [5","585","0","0","35"
"125","[ [5","565","3","0","36"
"126","[ [4","0","4","0","4"
"127","none","0","0","0","4"
"128","[ [5","165","0","0","35"
"129","none","0","0","0","4"
"130","[ [0","0","13","0","4"
